trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
100,False,"{'a': 0.5, 'e': 0.9562187494047729}",30,0,-134.09412345126142,"{0: 18, 1: 6, 2: 3, 3: 1, 4: 2}",0
101,False,"{'a': 0.5, 'e': 0.955336489125606}",25,0,-102.78748253411366,"{0: 17, 1: 3, 2: 3, 3: 0, 4: 2}",0
102,False,"{'a': 0.5, 'e': 0.9544456308244855}",25,14,-14.842044423911853,"{0: 7, 1: 2, 2: 2, 3: 0, 4: 0}",1
103,False,"{'a': 0.5, 'e': 0.9535461825191301}",20,0,-39.45416311875511,"{0: 11, 1: 8, 2: 1, 3: 0, 4: 0}",0
104,False,"{'a': 0.5, 'e': 0.9526381523045685}",25,10,-52.634680561825654,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 1}",1
105,False,"{'a': 0.5, 'e': 0.9517215483530664}",20,0,-76.52953856055626,"{0: 11, 1: 6, 2: 2, 3: 0, 4: 1}",0
106,False,"{'a': 0.5, 'e': 0.9507963789140532}",25,2,-161.13758286541523,"{0: 13, 1: 4, 2: 2, 3: 1, 4: 3}",1
107,False,"{'a': 0.5, 'e': 0.9498626523140478}",20,0,-128.20885968185337,"{0: 8, 1: 2, 2: 9, 3: 0, 4: 1}",0
108,False,"{'a': 0.5, 'e': 0.948920376956583}",30,0,-134.6501800221906,"{0: 18, 1: 3, 2: 6, 3: 2, 4: 1}",0
109,False,"{'a': 0.5, 'e': 0.9479695613221308}",30,0,-170.5371607038696,"{0: 17, 1: 3, 2: 6, 3: 2, 4: 2}",0
110,False,"{'a': 0.5, 'e': 0.9470102139680256}",25,0,-197.32337878047102,"{0: 13, 1: 2, 2: 5, 3: 2, 4: 3}",0
111,False,"{'a': 0.5, 'e': 0.946042343528387}",20,1,-70.95528251204331,"{0: 15, 1: 0, 2: 1, 3: 2, 4: 1}",1
112,False,"{'a': 0.5, 'e': 0.9450659587140423}",30,16,-17.07492838282978,"{0: 10, 1: 2, 2: 2, 3: 0, 4: 0}",1
113,False,"{'a': 0.5, 'e': 0.9440810683124485}",20,0,-56.8053135259652,"{0: 11, 1: 4, 2: 5, 3: 0, 4: 0}",0
114,False,"{'a': 0.5, 'e': 0.9430876811876123}",25,0,-102.00273019115376,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
115,False,"{'a': 0.5, 'e': 0.9420858062800114}",20,0,-136.2896971661933,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
116,False,"{'a': 0.5, 'e': 0.941075452606513}",35,0,-119.52358841078164,"{0: 21, 1: 4, 2: 8, 3: 2, 4: 0}",0
117,False,"{'a': 0.5, 'e': 0.9400566292602934}",30,0,-237.84249123766512,"{0: 15, 1: 7, 2: 2, 3: 2, 4: 4}",0
118,False,"{'a': 0.5, 'e': 0.9390293454107558}",20,0,-79.58051485073526,"{0: 10, 1: 4, 2: 4, 3: 2, 4: 0}",0
119,False,"{'a': 0.5, 'e': 0.937993610303448}",25,0,-108.07814291667216,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
120,False,"{'a': 0.5, 'e': 0.9369494332599789}",20,0,-106.26519454869955,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 2}",0
121,False,"{'a': 0.5, 'e': 0.9358968236779348}",30,0,-143.1633927838602,"{0: 21, 1: 3, 2: 3, 3: 0, 4: 3}",0
122,False,"{'a': 0.5, 'e': 0.9348357910307951}",25,0,-128.05893826149816,"{0: 12, 1: 6, 2: 5, 3: 1, 4: 1}",0
123,False,"{'a': 0.5, 'e': 0.933766344867846}",20,0,-104.08537757302868,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
124,False,"{'a': 0.5, 'e': 0.9326884948140962}",20,0,-99.90263388370754,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
125,False,"{'a': 0.5, 'e': 0.9316022505701886}",20,0,-154.83413218870675,"{0: 9, 1: 3, 2: 3, 3: 4, 4: 1}",0
126,False,"{'a': 0.5, 'e': 0.9305076219123143}",25,0,-115.14424295291641,"{0: 15, 1: 5, 2: 3, 3: 0, 4: 2}",0
127,False,"{'a': 0.5, 'e': 0.9294046186921237}",20,0,-120.64278875897429,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
128,False,"{'a': 0.5, 'e': 0.9282932508366383}",20,0,-38.846146091913205,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
129,False,"{'a': 0.5, 'e': 0.9271735283481612}",20,0,-62.51139168719248,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
130,False,"{'a': 0.5, 'e': 0.9260454613041876}",20,3,-35.18797070338588,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 0}",1
131,False,"{'a': 0.5, 'e': 0.9249090598573131}",25,0,-203.44859603911001,"{0: 12, 1: 4, 2: 4, 3: 2, 4: 3}",0
132,False,"{'a': 0.5, 'e': 0.9237643342351428}",25,0,-74.99199583214619,"{0: 17, 1: 2, 2: 3, 3: 3, 4: 0}",0
133,False,"{'a': 0.5, 'e': 0.9226112947402}",30,0,-174.99797891371105,"{0: 12, 1: 7, 2: 9, 3: 1, 4: 1}",0
134,False,"{'a': 0.5, 'e': 0.921449951749832}",20,0,-42.79555271066333,"{0: 13, 1: 5, 2: 1, 3: 1, 4: 0}",0
